email,month,year,cancelled_b,cancelled_l,cancelled_d
me.you@iiit.ac.in,8,2018,0,0,0
me.you@iiit.ac.in,8,2018,0,0,0
me.you@iiit.ac.in,8,2018,0,0,0
me.you@iiit.ac.in,8,2018,0,0,0
me.you@iiit.ac.in,8,2018,0,0,0
me.you@iiit.ac.in,8,2018,0,0,0
me.you@iiit.ac.in,8,2018,0,0,0
me.you@iiit.ac.in,8,2018,0,0,0
me.you@iiit.ac.in,8,2018,0,0,0
me.you@iiit.ac.in,8,2018,0,0,0
me.you@iiit.ac.in,8,2018,0,0,0
me.you@iiit.ac.in,8,2018,0,0,0
me.you@iiit.ac.in,8,2018,0,0,0
me.you@iiit.ac.in,8,2018,0,0,0
me.you@iiit.ac.in,8,2018,0,0,0
me.you@iiit.ac.in,8,2018,0,0,0
me.you@iiit.ac.in,8,2018,0,0,0
me.you@iiit.ac.in,8,2018,0,0,0
me.you@iiit.ac.in,8,2018,0,0,0
me.you@iiit.ac.in,8,2018,0,0,0
me.you@iiit.ac.in,8,2018,0,0,0
me.you@iiit.ac.in,8,2018,0,0,0
me.you@iiit.ac.in,8,2018,0,0,0
me.you@iiit.ac.in,8,2018,0,0,0
me.you@iiit.ac.in,8,2018,0,0,0
me.you@iiit.ac.in,8,2018,0,0,0
me.you@iiit.ac.in,8,2018,0,0,0
me.you@iiit.ac.in,8,2018,0,0,0
me.you@iiit.ac.in,8,2018,0,0,0
me.you@iiit.ac.in,8,2018,0,0,0
me.you@iiit.ac.in,8,2018,0,0,0
me.you@iiit.ac.in,9,2018,0,0,0
me.you@iiit.ac.in,9,2018,0,0,0
me.you@iiit.ac.in,9,2018,0,0,0
me.you@iiit.ac.in,9,2018,0,0,0
me.you@iiit.ac.in,9,2018,0,0,0
me.you@iiit.ac.in,9,2018,0,0,0
me.you@iiit.ac.in,9,2018,0,0,0
me.you@iiit.ac.in,9,2018,0,0,0
me.you@iiit.ac.in,9,2018,0,0,0
me.you@iiit.ac.in,9,2018,0,0,0
me.you@iiit.ac.in,9,2018,0,0,0
me.you@iiit.ac.in,9,2018,0,0,0
me.you@iiit.ac.in,9,2018,0,0,0
me.you@iiit.ac.in,9,2018,0,0,0
me.you@iiit.ac.in,9,2018,0,0,0
me.you@iiit.ac.in,9,2018,0,0,0
me.you@iiit.ac.in,9,2018,0,0,0
me.you@iiit.ac.in,9,2018,0,0,0
me.you@iiit.ac.in,9,2018,0,0,0
me.you@iiit.ac.in,9,2018,0,0,0
me.you@iiit.ac.in,9,2018,0,0,0
me.you@iiit.ac.in,9,2018,0,0,0
